n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 3672177.3, 36721.773, 3672.1772, 3.6721773, 3672177.3, 36721.773, 3672.1772, 3.6721773, 2.1117807e-3, 4.5954116e-2, 3.660431, 3660.431, 3660.431, 3660431.0
3001, 3647076.5, 36470.766, 3647.0767, 3.6470766, 3647076.5, 36470.766, 3647.0767, 3.6470766, 1.8290698e-3, 4.2767625e-2, 3.637586, 3637.5862, 3637.5862, 3637586.0
2991, 3569931.0, 35699.31, 3569.9312, 3.569931, 3569931.0, 35699.31, 3569.9312, 3.569931, 2.28496e-3, 4.7801252e-2, 3.561257, 3561.2568, 3561.2568, 3561257.0
2981, 3579792.5, 35797.926, 3579.7925, 3.5797925, 3579792.5, 35797.926, 3579.7925, 3.5797925, 2.364438e-3, 4.8625488e-2, 3.573829, 3573.8289, 3573.8289, 3573829.0
2971, 3535446.0, 35354.46, 3535.446, 3.535446, 3535446.0, 35354.46, 3535.446, 3.535446, 1.9672336e-3, 4.4353507e-2, 3.528986, 3528.986, 3528.986, 3528986.0
2961, 3543655.3, 35436.55, 3543.6553, 3.5436552, 3543655.3, 35436.55, 3543.6553, 3.5436552, 2.3770658e-3, 4.875516e-2, 3.531683, 3531.6829, 3531.6829, 3531683.0
2951, 3511359.5, 35113.594, 3511.3594, 3.5113595, 3511359.5, 35113.594, 3511.3594, 3.5113595, 1.9679924e-3, 4.436206e-2, 3.501124, 3501.124, 3501.124, 3501124.0
2941, 3464986.3, 34649.863, 3464.9863, 3.4649863, 3464986.3, 34649.863, 3464.9863, 3.4649863, 2.2731428e-3, 4.7677487e-2, 3.450352, 3450.352, 3450.352, 3450352.0
2931, 3501935.3, 35019.35, 3501.9353, 3.5019352, 3501935.3, 35019.35, 3501.9353, 3.5019352, 2.5908116e-3, 5.0900016e-2, 3.495144, 3495.1438, 3495.1438, 3495144.0
2921, 3488780.5, 34887.805, 3488.7805, 3.4887805, 3488780.5, 34887.805, 3488.7805, 3.4887805, 1.9071663e-3, 4.3671116e-2, 3.481423, 3481.4229, 3481.4229, 3481423.0
2911, 3332503.8, 33325.04, 3332.504, 3.3325038, 3332503.8, 33325.04, 3332.504, 3.3325038, 2.0704747e-3, 4.550247e-2, 3.329041, 3329.041, 3329.041, 3329041.0
2901, 3394183.5, 33941.832, 3394.1833, 3.3941834, 3394183.5, 33941.832, 3394.1833, 3.3941834, 2.157487e-3, 4.6448756e-2, 3.379739, 3379.739, 3379.739, 3379739.0
2891, 3359670.3, 33596.703, 3359.6702, 3.3596702, 3359670.3, 33596.703, 3359.6702, 3.3596702, 1.893835e-3, 4.3518215e-2, 3.356162, 3356.162, 3356.162, 3356162.0
2881, 3338916.8, 33389.168, 3338.9167, 3.3389168, 3338916.8, 33389.168, 3338.9167, 3.3389168, 2.4756454e-3, 4.9755856e-2, 3.33083, 3330.83, 3330.83, 3330830.0
2871, 3294175.8, 32941.758, 3294.1758, 3.2941759, 3294175.8, 32941.758, 3294.1758, 3.2941759, 3.591067e-3, 5.992551e-2, 3.277793, 3277.793, 3277.793, 3277793.0
2861, 3245203.3, 32452.033, 3245.2034, 3.2452033, 3245203.3, 32452.033, 3245.2034, 3.2452033, 1.492364e-3, 3.8631126e-2, 3.239718, 3239.718, 3239.718, 3239718.0
2851, 3269006.0, 32690.06, 3269.006, 3.269006, 3269006.0, 32690.06, 3269.006, 3.269006, 1.8248839e-3, 4.271866e-2, 3.260845, 3260.845, 3260.845, 3260845.0
2841, 3234171.8, 32341.717, 3234.1716, 3.2341716, 3234171.8, 32341.717, 3234.1716, 3.2341716, 3.3507475e-3, 5.7885643e-2, 3.218406, 3218.406, 3218.406, 3218406.0
2831, 3240697.5, 32406.975, 3240.6973, 3.2406974, 3240697.5, 32406.975, 3240.6973, 3.2406974, 2.0710998e-3, 4.550934e-2, 3.236766, 3236.766, 3236.766, 3236766.0
2821, 3104303.0, 31043.03, 3104.303, 3.104303, 3104303.0, 31043.03, 3104.303, 3.104303, 1.9748928e-3, 4.4439767e-2, 3.097543, 3097.543, 3097.543, 3097543.0
2811, 3199703.8, 31997.037, 3199.7036, 3.1997037, 3199703.8, 31997.037, 3199.7036, 3.1997037, 2.7618674e-3, 5.255347e-2, 3.187991, 3187.991, 3187.991, 3187991.0
2801, 3121290.8, 31212.906, 3121.2908, 3.1212907, 3121290.8, 31212.906, 3121.2908, 3.1212907, 1.8801091e-3, 4.3360226e-2, 3.115909, 3115.9092, 3115.9092, 3115909.0
2791, 3150440.3, 31504.402, 3150.4402, 3.1504402, 3150440.3, 31504.402, 3150.4402, 3.1504402, 2.145969e-3, 4.6324607e-2, 3.14235, 3142.3499, 3142.3499, 3142350.0
2781, 3117154.5, 31171.547, 3117.1545, 3.1171546, 3117154.5, 31171.547, 3117.1545, 3.1171546, 8.654038e-3, 9.3027085e-2, 3.087138, 3087.138, 3087.138, 3087138.0
2771, 3061752.0, 30617.521, 3061.7522, 3.061752, 3061752.0, 30617.521, 3061.7522, 3.061752, 1.8711558e-3, 4.325686e-2, 3.055305, 3055.305, 3055.305, 3055305.0
